Anio,Mes,Feriados,No_Laborables_Fuera_de_Feriado,Fines_de_Semana
2014,1,1,1,8
2014,2,0,0,8
2014,3,0,0,10
2014,4,2,0,8
2014,5,1,0,9
2014,6,1,1,9
2014,7,2,0,8
2014,8,1,1,10
2014,9,0,0,8
2014,10,1,0,8
2014,11,1,0,10
2014,12,2,1,8
2015,1,1,1,9
2015,2,0,2,8
2015,3,0,0,9
2015,4,2,0,8
2015,5,1,0,10
2015,6,1,0,8
2015,7,2,1,8
2015,8,1,0,10
2015,9,0,0,8
2015,10,1,1,9
2015,11,1,0,9
2015,12,2,2,8
2016,1,1,1,10
2016,2,0,2,8
2016,3,2,0,8
2016,4,0,0,9
2016,5,1,0,9
2016,6,1,0,8
2016,7,2,0,10
2016,8,1,0,8
2016,9,0,0,8
2016,10,1,0,10
2016,11,1,3,8
2016,12,2,0,9
2017,1,1,1,9
2017,2,0,0,8
2017,3,0,0,8
2017,4,2,0,10
2017,5,1,0,8
2017,6,1,1,8
2017,7,2,0,10
2017,8,1,1,8
2017,9,0,0,9
2017,10,1,0,9
2017,11,1,0,8
2017,12,2,0,10
2018,1,1,2,8
2018,2,0,0,8
2018,3,2,0,9
2018,4,0,0,9
2018,5,1,0,8
2018,6,1,0,9
2018,7,2,0,9
2018,8,1,1,8
2018,9,0,0,10
2018,10,1,0,8
2018,11,1,1,8
2018,12,2,0,10
2019,1,1,0,8
2019,2,0,0,8
2019,3,0,0,10
2019,4,2,0,8
2019,5,1,0,8
2019,6,1,0,9
2019,7,2,3,8
2019,8,1,1,9
2019,9,0,0,9
2019,10,1,1,8
2019,11,1,0,9
2019,12,2,0,9
2020,1,1,0,8
2020,2,0,0,9
2020,3,0,0,9
2020,4,2,0,8
2020,5,1,0,10
2020,6,1,0,8
2020,7,2,1,8
2020,8,1,0,10
2020,9,0,0,8
2020,10,1,1,9
2020,11,1,0,9
2020,12,2,2,8
2021,1,1,0,10
2021,2,0,0,8
2021,3,0,0,8
2021,4,2,0,8
2021,5,1,0,10
2021,6,1,0,8
2021,7,2,0,9
2021,8,1,0,9
2021,9,0,0,8
2021,10,1,1,10
2021,11,1,1,8
2021,12,2,3,8
2022,1,1,0,10
2022,2,0,0,8
2022,3,0,0,8
2022,4,2,0,9
2022,5,1,1,9
2022,6,1,1,8
2022,7,2,0,10
2022,8,2,1,8
2022,9,0,0,8
2022,10,1,2,10
2022,11,1,0,8
2022,12,3,2,9
2023,1,1,1,9
2023,2,0,0,8
2023,3,0,0,8
2023,4,2,1,10
2023,5,1,0,8
2023,6,1,1,8
2023,7,3,1,10
2023,8,2,0,8
2023,9,0,0,9
2023,10,1,1,9
2023,11,1,0,8
2023,12,3,2,10
2024,1,1,0,8
2024,2,0,0,8
2024,3,2,0,10
2024,4,0,0,8
2024,5,1,0,8
2024,6,2,0,10
2024,7,3,1,8
2024,8,2,0,9
2024,9,0,0,9
2024,10,1,1,8
2024,11,1,3,9
2024,12,3,4,9
2025,1,1,1,8
2025,2,0,0,8
2025,3,0,0,10
2025,4,2,0,8
2025,5,1,1,9
2025,6,2,1,9
2025,7,3,1,8
2025,8,2,1,10
