ID,ADMINIST,CODIGO_PEAJE,DEPARTAMENTO,NOMBRE_PEAJE,VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO
0,Concesionado,22PE5NACS1,San Martín,Aguas Claras,2099,8070.0,0,2586.0,2374.0,720.0,315.0,3512.0,8.0,10169,328.0,9515,306.9,19684,635.0,2014,1,201401
1,Concesionado,04PE1SCAM1,Arequipa,Camaná,0,24644.0,0,6502.0,4622.0,1654.0,3028.0,8711.0,213.0,24644,795.0,24730,797.7,49374,1592.7,2014,1,201401
2,Concesionado,21PE3SCRO1,Puno,Caracoto,33643,82139.0,5797,17981.0,5307.0,1150.0,1737.0,5342.0,12.0,115782,3734.9,37326,1204.1,153108,4939.0,2014,1,201401
3,Concesionado,12PE3NCRA1,Junín,Casaracra-Concesión,10,46944.0,0,16981.0,18585.0,4463.0,3058.0,19400.0,135.0,46954,1514.6,62622,2020.1,109576,3534.7,2014,1,201401
4,Concesionado,08PE3SCSC1,Cusco,Ccasacancha (Huillque),0,23831.0,0,4709.0,3941.0,447.0,769.0,3945.0,95.0,23831,768.7,13906,448.6,37737,1217.3,2014,1,201401
5,Concesionado,13PE1NCMA1,La Libertad,Chicama,298,55877.0,9834,14375.0,14727.0,3437.0,3638.0,18623.0,155.0,56175,1812.1,64789,2090.0,120964,3902.1,2014,1,201401
6,Concesionado,15PE1SCLA1,Lima,Chilca,0,252757.0,0,29157.0,19799.0,3766.0,6563.0,24456.0,433.0,252757,8153.5,84174,2715.3,336931,10868.7,2014,1,201401
7,Concesionado,20PE1NJCLS1,Piura,Chulucanas,1958,33423.0,301,10492.0,4906.0,185.0,530.0,4364.0,179.0,35381,1141.3,20957,676.0,56338,1817.4,2014,1,201401
8,Concesionado,13PE08CDS1,La Libertad,Ciudad de Dios,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,1,201401
9,Concesionado,15PE22CCA1,Lima,Corcona-Concesión,5045,80704.0,829,25184.0,27487.0,6485.0,4326.0,29582.0,540.0,85749,2766.1,94433,3046.2,180182,5812.3,2014,1,201401
10,Concesionado,20PE1NCBA1,Piura,Cruce Bayóvar,0,10653.0,0,3163.0,7306.0,2236.0,1581.0,8803.0,56.0,10653,343.6,23145,746.6,33798,1090.3,2014,1,201401
11,Concesionado,14PE04BOLS1,Lambayeque,Desvío Olmos,868,11303.0,0,6208.0,5851.0,2024.0,711.0,4838.0,36.0,12171,392.6,19668,634.5,31839,1027.1,2014,1,201401
12,Concesionado,04PE1SEFS1,Arequipa,El Fiscal,0,8648.0,0,1195.0,2479.0,418.0,1555.0,3409.0,43.0,8648,279.0,9099,293.5,17747,572.5,2014,1,201401
13,Concesionado,15PE1NEPS1,Lima,El Paraíso,0,101514.0,0,42285.0,34909.0,11649.0,9358.0,49996.0,382.0,101514,3274.6,148579,4792.9,250093,8067.5,2014,1,201401
14,Concesionado,15PE1NFZA1,Lima,Fortaleza,0,21455.0,0,6386.0,13935.0,4566.0,3487.0,18528.0,148.0,21455,692.1,47050,1517.7,68505,2209.8,2014,1,201401
15,Concesionado,02PE1NHUY1,Áncash,Huarmey,0,45480.0,0,12729.0,27005.0,8872.0,6476.0,35942.0,315.0,45480,1467.1,91339,2946.4,136819,4413.5,2014,1,201401
16,Concesionado,11PE1SICA1,Ica,Ica,0,48163.0,0,14722.0,14381.0,2726.0,4900.0,17027.0,304.0,48163,1553.6,54060,1743.9,102223,3297.5,2014,1,201401
17,Concesionado,18PE36ILO1,Moquegua,Ilo,0,29626.0,0,2442.0,728.0,141.0,1966.0,1300.0,9.0,29626,955.7,6586,212.5,36212,1168.1,2014,1,201401
18,Concesionado,11PE1SJAY1,Ica,Jahuay Chincha,0,57391.0,0,15486.0,17068.0,3407.0,5682.0,21848.0,292.0,57391,1851.3,63783,2057.5,121174,3908.8,2014,1,201401
19,Concesionado,20PE02ALLA1,Piura,Loma Larga Baja,0,4567.0,0,2889.0,429.0,16.0,1.0,26.0,14.0,4567,147.3,3375,108.9,7942,256.2,2014,1,201401
20,Concesionado,21PE34BMNI1,Puno,Macusani,949,2932.0,67,788.0,600.0,80.0,258.0,1430.0,4.0,3881,125.2,3227,104.1,7108,229.3,2014,1,201401
21,Concesionado,11PE30MNA1,Ica,Marcona,0,22589.0,0,4717.0,1498.0,103.0,178.0,916.0,21.0,22589,728.7,7433,239.8,30022,968.5,2014,1,201401
22,Concesionado,04PE34MRI1,Arequipa,Matarani Concesión,0,41680.0,0,9024.0,1531.0,900.0,3159.0,13887.0,156.0,41680,1344.5,28657,924.4,70337,2268.9,2014,1,201401
23,Concesionado,13PE10AMEO1,La Libertad,Menocucho (Quirihuac),0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,1,201401
24,Concesionado,14PE1NJMOC1,Lambayeque,Mocce,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,1,201401
25,Concesionado,18PE1SMTV1,Moquegua,Montalvo,0,9820.0,0,1155.0,2628.0,465.0,1548.0,3426.0,41.0,9820,316.8,9263,298.8,19083,615.6,2014,1,201401
26,Concesionado,14PE1NMRE1,Lambayeque,Mórrope,0,12835.0,0,3632.0,7217.0,2283.0,1640.0,8457.0,39.0,12835,414.0,23268,750.6,36103,1164.6,2014,1,201401
27,Concesionado,22PE5NMYB1,San Martín,Moyobamba,44,27354.0,1871,3266.0,2374.0,675.0,279.0,4001.0,8.0,27398,883.8,12474,402.4,39872,1286.2,2014,1,201401
28,Concesionado,13PE1NPGA1,La Libertad,Pacanguilla,397,27251.0,0,7867.0,12496.0,3321.0,2802.0,14670.0,134.0,27648,891.9,41290,1331.9,68938,2223.8,2014,1,201401
29,Concesionado,20PE02PAI1,Piura,Paita,6905,57388.0,327,8607.0,3849.0,394.0,803.0,5841.0,36.0,64293,2074.0,19857,640.5,84150,2714.5,2014,1,201401
30,Concesionado,18PE36APCL1,Moquegua,Pampa Cuéllar,0,10631.0,0,2104.0,1650.0,416.0,3479.0,2101.0,14.0,10631,342.9,9764,315.0,20395,657.9,2014,1,201401
31,Concesionado,05PE30APGR1,Ayacucho,Pampa Galera,0,6817.0,0,2811.0,4201.0,344.0,957.0,4544.0,115.0,6817,219.9,12972,418.5,19789,638.4,2014,1,201401
32,Concesionado,03PE30APPR1,Apurímac,Pampamarca (Chalhuanca),0,7253.0,0,2119.0,3629.0,349.0,850.0,3654.0,89.0,7253,234.0,10690,344.8,17943,578.8,2014,1,201401
33,Concesionado,04PE34APTI1,Arequipa,Patahuasi,0,30132.0,0,18057.0,7576.0,2432.0,3240.0,21397.0,257.0,30132,972.0,52959,1708.4,83091,2680.4,2014,1,201401
34,Concesionado,01PE08CPRS1,Amazonas,Pedro Ruiz,141,7206.0,0,1744.0,1676.0,517.0,180.0,1843.0,20.0,7347,237.0,5980,192.9,13327,429.9,2014,1,201401
35,Concesionado,03PE30APRH1,Apurímac,Pichirhua (Casinchihua),0,14278.0,0,2738.0,3628.0,339.0,834.0,3604.0,93.0,14278,460.6,11236,362.5,25514,823.0,2014,1,201401
36,Concesionado,20PE1NPSA1,Piura,Piura Sullana,0,125413.0,15494,26527.0,15555.0,3446.0,2847.0,18810.0,97.0,125413,4045.6,82776,2670.2,208189,6715.8,2014,1,201401
37,Concesionado,17PE30CPNN1,Madre de Dios,Planchón,0,16426.0,0,1163.0,332.0,30.0,228.0,907.0,0.0,16426,529.9,2660,85.8,19086,615.7,2014,1,201401
38,Concesionado,06PE3NPPU1,Cajamarca,Pomahuaca (Pucará),0,9842.0,0,5259.0,5751.0,2014.0,710.0,4803.0,35.0,9842,317.5,18572,599.1,28414,916.6,2014,1,201401
39,Concesionado,22PE5NBPGO1,San Martín,Pongo,0,18415.0,0,1539.0,951.0,178.0,149.0,1586.0,2.0,18415,594.0,4405,142.1,22820,736.1,2014,1,201401
40,Concesionado,12PE3SQLA1,Junín,Quiulla-Concesión,0,61058.0,0,9789.0,12014.0,2183.0,1776.0,10807.0,31.0,61058,1969.6,36600,1180.6,97658,3150.3,2014,1,201401
41,Concesionado,21PE34BSGB1,Puno,San Gabán,559,4101.0,6,900.0,987.0,76.0,252.0,1337.0,15.0,4660,150.3,3573,115.3,8233,265.6,2014,1,201401
42,Concesionado,17PE30CSLZ1,Madre de Dios,San Lorenzo,0,5970.0,0,516.0,200.0,3.0,173.0,413.0,0.0,5970,192.6,1305,42.1,7275,234.7,2014,1,201401
43,Concesionado,21PE34ASLA1,Puno,Santa Lucía,331,19886.0,0,9412.0,6683.0,1962.0,2594.0,16677.0,68.0,20217,652.2,37396,1206.3,57613,1858.5,2014,1,201401
44,Concesionado,15PE1NASPY1,Lima,Serpentín de Pasamayo,0,1281.0,0,56455.0,33342.0,12216.0,11273.0,58984.0,445.0,1281,41.3,172715,5571.5,173996,5612.8,2014,1,201401
45,Concesionado,23PE1STMS1,Tacna,Tomasiri,0,17431.0,0,1777.0,2855.0,530.0,604.0,2114.0,10.0,17431,562.3,7890,254.5,25321,816.8,2014,1,201401
46,Concesionado,04PE34AVYO1,Arequipa,Uchumayo-Concesión,0,99949.0,0,46087.0,15717.0,5379.0,9287.0,30101.0,397.0,99949,3224.2,106968,3450.6,206917,6674.7,2014,1,201401
47,Concesionado,17PE30CUPO1,Madre de Dios,Unión Progreso,0,21977.0,0,1316.0,1686.0,443.0,417.0,1666.0,4.0,21977,708.9,5532,178.5,27509,887.4,2014,1,201401
48,Concesionado,01PE5NUTB1,Amazonas,Utcubamba (Bagua),0,14230.0,0,2892.0,2223.0,739.0,274.0,2089.0,8.0,14230,459.0,8225,265.3,22455,724.4,2014,1,201401
49,Concesionado,15PE1NVPY1,Lima,Variante de Pasamayo,0,205214.0,0,9545.0,7211.0,673.0,18.0,124.0,5.0,205214,6619.8,17576,567.0,222790,7186.8,2014,1,201401
50,Concesionado,02PE1NVSQ1,Áncash,Vesique (Km402+760),16588,52574.0,3483,9696.0,14504.0,4480.0,3505.0,18073.0,219.0,69162,2231.0,53960,1740.6,123122,3971.7,2014,1,201401
51,Concesionado,13PE1NVIR1,La Libertad,Virú,1,35672.0,5573,10730.0,14391.0,4492.0,3552.0,15496.0,129.0,35673,1150.7,54363,1753.6,90036,2904.4,2014,1,201401
52,No concesionado,08PE3SACS1,Cusco,Aguas Calientes,0,12814.0,0,6556.0,3465.0,996.0,810.0,6031.0,28.0,12814,413.4,17886,577.0,30700,990.3,2014,1,201401
53,No concesionado,04PE1SATI1,Arequipa,Atico,0,13521.0,0,3954.0,8538.0,3399.0,6172.0,16918.0,426.0,13521,436.2,39407,1271.2,52928,1707.4,2014,1,201401
54,No concesionado,21PE3SAYV1,Puno,Ayaviri,945,21637.0,39,8036.0,3607.0,1107.0,872.0,5436.0,22.0,22582,728.5,19119,616.7,41701,1345.2,2014,1,201401
55,No concesionado,24PE1NCCS1,Tumbes,Cancas,0,36287.0,0,5812.0,4081.0,1614.0,1061.0,4038.0,39.0,36287,1170.5,16645,536.9,52932,1707.5,2014,1,201401
56,No concesionado,02PE3NCTC1,Áncash,Cátac,0,17038.0,0,5024.0,5011.0,1306.0,349.0,3000.0,19.0,17038,549.6,14709,474.5,31747,1024.1,2014,1,201401
57,No concesionado,12PE3SHUO1,Junín,Chacapampa,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,1,201401
58,No concesionado,12PE22BCHO1,Junín,Chalhuapuquio (El Pedregal),1812,25008.0,589,12164.0,6902.0,1014.0,232.0,1628.0,0.0,26820,865.2,22529,726.7,49349,1591.9,2014,1,201401
59,No concesionado,13PE08CDS1,La Libertad,Ciudad de Dios,15195,22895.0,7,5988.0,5062.0,653.0,892.0,15146.0,74.0,38090,1228.7,27822,897.5,65912,2126.2,2014,1,201401
60,No concesionado,14PE06ACUC1,Lambayeque,Cuculí (Pomalca),3565,14339.0,1512,8881.0,1906.0,86.0,39.0,822.0,6.0,17904,577.5,13252,427.5,31156,1005.0,2014,1,201401
61,No concesionado,20PE1NTYL1,Piura,Desvío Talara,0,48504.0,0,13643.0,5045.0,1685.0,1733.0,10818.0,48.0,48504,1564.6,32972,1063.6,81476,2628.3,2014,1,201401
62,No concesionado,21PE3SILV1,Puno,Ilave,17590,32327.0,2188,4774.0,1456.0,224.0,1523.0,3268.0,0.0,49917,1610.2,13433,433.3,63350,2043.5,2014,1,201401
63,No concesionado,15PE24LNH1,Lima,Lunahuaná,2164,33545.0,0,2802.0,245.0,35.0,41.0,120.0,12.0,35709,1151.9,3255,105.0,38964,1256.9,2014,1,201401
64,No concesionado,13PE10AMEO1,La Libertad,Menocucho (Quirihuac),14630,58903.0,1953,16043.0,8784.0,68.0,217.0,1389.0,37.0,73533,2372.0,28491,919.1,102024,3291.1,2014,1,201401
65,No concesionado,14PE1NJMOC1,Lambayeque,Mocce,51815,90890.0,4936,15037.0,8916.0,2414.0,1469.0,7846.0,195.0,142705,4603.4,40813,1316.5,183518,5919.9,2014,1,201401
66,No concesionado,11PE1SNZA1,Ica,Nasca,0,44743.0,0,13383.0,13970.0,3325.0,7201.0,24394.0,508.0,44743,1443.3,62781,2025.2,107524,3468.5,2014,1,201401
67,No concesionado,11PE28APRA1,Ica,Pacra,0,14530.0,0,3482.0,4852.0,1473.0,493.0,3373.0,17.0,14530,468.7,13690,441.6,28220,910.3,2014,1,201401
68,No concesionado,23PE1SDPRO1,Tacna,Pozo Redondo,0,24496.0,0,3233.0,1702.0,723.0,1018.0,1345.0,3.0,24496,790.2,8024,258.8,32520,1049.0,2014,1,201401
